"","gene_id","gene_symbol"
"292","ENSMUSG00000001657.7","Hoxc8"
"293","ENSMUSG00000001661.5","Hoxc6"
"294","ENSMUSG00000001663.10","Gstt1"
"295","ENSMUSG00000001665.11","Gstt3"
"296","ENSMUSG00000001666.8","Ddt"
"297","ENSMUSG00000001670.13","Tat"
"298","ENSMUSG00000001672.14","Marveld3"
"299","ENSMUSG00000001674.11","Ddx18"
"300","ENSMUSG00000001687.15","Ubl3"
"301","ENSMUSG00000001700.10","Gramd3"
"302","ENSMUSG00000001707.8","Eef1e1"
"303","ENSMUSG00000001729.14","Akt1"
"304","ENSMUSG00000001739.14","Cldn15"
"305","ENSMUSG00000001741.12","Il16"
"306","ENSMUSG00000001750.16","Tcirg1"
"307","ENSMUSG00000001751.9","Naglu"
"308","ENSMUSG00000001755.12","Coasy"
"309","ENSMUSG00000001761.7","Smo"
"310","ENSMUSG00000001763.14","Tspan33"
"311","ENSMUSG00000001767.5","Crnkl1"
"312","ENSMUSG00000001768.16","Rin2"
"313","ENSMUSG00000001773.14","Folh1"
"314","ENSMUSG00000001774.8","Chordc1"
"315","ENSMUSG00000001783.3","Rtcb"
"316","ENSMUSG00000001785.13","Pwp1"
"317","ENSMUSG00000001786.14","Fbxo7"
"318","ENSMUSG00000001794.13","Capns1"
"319","ENSMUSG00000001802.16","Lrp3"
"320","ENSMUSG00000001804.9","Dsg4"
"321","ENSMUSG00000001815.15","Evx2"
"322","ENSMUSG00000001819.4","Hoxd13"
"323","ENSMUSG00000001823.5","Hoxd12"
"324","ENSMUSG00000001827.12","Folr1"
"325","ENSMUSG00000001829.17","Clpb"
"326","ENSMUSG00000001833.17","Septin7"
"327","ENSMUSG00000001844.10","Zdhhc4"
"328","ENSMUSG00000001847.14","Rac1"
"329","ENSMUSG00000001855.15","Nup214"
"330","ENSMUSG00000001864.13","Aif1l"
"331","ENSMUSG00000001865.2","Cpa3"
"332","ENSMUSG00000001870.16","Ltbp1"
"333","ENSMUSG00000001891.16","Ugp2"
"334","ENSMUSG00000001901.15","Kcnh6"
"335","ENSMUSG00000001909.16","Trmt1"
"336","ENSMUSG00000001910.5","Nacc1"
"337","ENSMUSG00000001911.16","Nfix"
"338","ENSMUSG00000001918.17","Slc1a5"
"339","ENSMUSG00000001924.15","Uba1"
"340","ENSMUSG00000001930.17","Vwf"
"341","ENSMUSG00000001942.8","Siae"
"342","ENSMUSG00000001943.8","Vsig2"
"343","ENSMUSG00000001946.14","Esam"
"344","ENSMUSG00000001948.10","Spa17"
"345","ENSMUSG00000001962.8","Fam50a"
"346","ENSMUSG00000001964.14","Emd"
"347","ENSMUSG00000001983.7","Taco1"
"348","ENSMUSG00000001985.9","Grik3"
"349","ENSMUSG00000001986.16","Gria3"
"350","ENSMUSG00000001988.9","Npas1"
"351","ENSMUSG00000001995.9","Sipa1l2"
"352","ENSMUSG00000001998.15","Ap4e1"
"353","ENSMUSG00000001999.15","Blvra"
"354","ENSMUSG00000002006.12","Pdzd4"
"355","ENSMUSG00000002007.5","Srpk3"
"356","ENSMUSG00000002010.17","Idh3g"
"357","ENSMUSG00000002012.13","Pnck"
"358","ENSMUSG00000002014.12","Ssr4"
"359","ENSMUSG00000002015.5","Bcap31"
"360","ENSMUSG00000002017.10","Fam98a"
"361","ENSMUSG00000002020.15","Ltbp2"
"362","ENSMUSG00000002028.13","Kmt2a"
"363","ENSMUSG00000002031.13","Ift46"
"364","ENSMUSG00000002032.17","Tmem25"
"365","ENSMUSG00000002033.14","Cd3g"
"366","ENSMUSG00000002043.17","Trappc6a"
"367","ENSMUSG00000002052.6","Supt6"
"368","ENSMUSG00000002055.9","Spag5"
"369","ENSMUSG00000002057.4","Foxn1"
"370","ENSMUSG00000002058.13","Unc119"
"371","ENSMUSG00000002059.18","Rab34"
"372","ENSMUSG00000002064.10","Sdf2"
"373","ENSMUSG00000002068.16","Ccne1"
"374","ENSMUSG00000002076.12","Hsf2bp"
"375","ENSMUSG00000002083.13","Bbc3"
"376","ENSMUSG00000002100.15","Mybpc3"
"377","ENSMUSG00000002102.15","Psmc3"
"378","ENSMUSG00000002103.16","Acp2"
"379","ENSMUSG00000002104.11","Rapsn"
"380","ENSMUSG00000002105.15","Slc39a13"
"381","ENSMUSG00000002107.18","Celf2"
"382","ENSMUSG00000002108.10","Nr1h3"
"383","ENSMUSG00000002109.14","Ddb2"
"384","ENSMUSG00000002111.8","Spi1"
"385","ENSMUSG00000002129.11","Sf3a1"
"386","ENSMUSG00000002147.18","Stat6"
"387","ENSMUSG00000002190.13","Clgn"
"388","ENSMUSG00000002204.9","Napsa"
"389","ENSMUSG00000002205.16","Vrk3"
"390","ENSMUSG00000002210.11","Smg9"
"391","ENSMUSG00000002221.11","Paxip1"
"392","ENSMUSG00000002222.14","Rmnd5a"
"393","ENSMUSG00000002227.15","Mov10"
"394","ENSMUSG00000002228.7","Ppm1j"
"395","ENSMUSG00000002233.13","Rhoc"
"396","ENSMUSG00000002240.12","Prr27"
"397","ENSMUSG00000002249.21","Tead3"
"398","ENSMUSG00000002250.16","Ppard"
"399","ENSMUSG00000002257.8","Def6"
"400","ENSMUSG00000002265.17","Peg3"
"401","ENSMUSG00000002266.17","Zim1"
"402","ENSMUSG00000002274.13","Metrn"
"403","ENSMUSG00000002279.19","Lmf1"
"404","ENSMUSG00000002280.11","Ciao3"
"405","ENSMUSG00000002289.16","Angptl4"
"406","ENSMUSG00000002297.16","Dbf4"
"407","ENSMUSG00000002307.16","Daxx"
"408","ENSMUSG00000002308.16","Cd320"
"409","ENSMUSG00000002319.16","Ipo4"
"410","ENSMUSG00000002320.15","Tm9sf1"
"411","ENSMUSG00000002324.8","Rec8"
